lambda_physics_value,loss_train_total,loss_train_total_err,loss_train_data,loss_train_data_err,loss_train_physics,loss_train_physics_err,loss_train_P,loss_train_P_err,loss_train_I,loss_train_I_err,loss_train_ne,loss_train_ne_err,loss_val,loss_val_err,loss_val_physics,loss_val_physics_err,loss_val_P,loss_val_P_err,loss_val_I,loss_val_I_err,loss_val_ne,loss_val_ne_err
[1.e-06 1.e-06 1.e-06],2.98168136381233998e-03,1.07747675436090017e-04,2.98025323846042630e-03,1.07740515326953834e-04,1.43706611162863754e-06,1.10137952258268413e-08,5.85523731079281351e-01,3.61031978829555716e-03,7.20696717834161005e-01,9.60171526858892045e-03,1.30845662715195127e-01,2.88599037618969111e-03,5.03790281492004152e-03,1.68697107102470868e-04,1.53635731762775442e-06,1.99852925937127927e-08,6.24606173886084415e-01,5.88215715974601833e-03,7.95760001151083030e-01,1.78779059304882380e-02,1.15991142590586918e-01,2.47821932665034418e-03
[5.e-06 5.e-06 5.e-06],2.94928436212819802e-03,1.16075065598356041e-04,2.94215136659709562e-03,1.16038829286650664e-04,7.17712780160088328e-06,5.57412716938200591e-08,5.84604050837448375e-01,3.67910535833282457e-03,7.19455715750002778e-01,9.91287733524463463e-03,1.31365793732725444e-01,3.21205762086492798e-03,4.98140450883294283e-03,1.79569650921032110e-04,7.67328016449995645e-06,1.02461785416497001e-07,6.25706417643580481e-01,6.00984962310199041e-03,7.92920782510940114e-01,1.90504474594422636e-02,1.16028832745470642e-01,2.49317756342585422e-03
[1.e-05 1.e-05 1.e-05],2.99454957518095278e-03,1.07808530216671900e-04,2.98026948467923275e-03,1.07736908309399564e-04,1.43694985862598680e-05,1.10069167502089594e-07,5.85528396233136017e-01,3.61072222925372345e-03,7.20589748205146430e-01,9.59567965612047671e-03,1.30831714187704368e-01,2.88558678117779941e-03,5.03775654885554001e-03,1.68720907139637927e-04,1.53611271548306414e-05,1.99637256393847641e-07,6.24616404435766714e-01,5.88148234998565628e-03,7.95517807882122785e-01,1.78593404921280341e-02,1.15978503165174551e-01,2.47924186401143930e-03
[5.e-05 5.e-05 5.e-05],3.05184033399861663e-03,1.08114373010775075e-04,2.98047503690342629e-03,1.07756272533181057e-04,7.18123683507266664e-05,5.49009880135395575e-07,5.85526869429030539e-01,3.61116904509796834e-03,7.19969407655065785e-01,9.55937766649148264e-03,1.30751089930436992e-01,2.88347265299747964e-03,5.03776123678562841e-03,1.68763256067802945e-04,7.67670836508859875e-05,9.96147275240138021e-07,6.24613091388999342e-01,5.87960223193258105e-03,7.94813415321043770e-01,1.78087879663594260e-02,1.15915166307676509e-01,2.47706804314705388e-03
[0.0001 0.0001 0.0001],3.12318118913339519e-03,1.08394481475152451e-04,2.98051988005292512e-03,1.07676719743202975e-04,1.43555465044485278e-04,1.09949368859826317e-06,5.85534146115915699e-01,3.61275835600924659e-03,7.19364598389843124e-01,9.56739188026813417e-03,1.30655905939093958e-01,2.88297267117378336e-03,5.03733578151579521e-03,1.68626921782660490e-04,1.53453392908918138e-04,1.98774258006975689e-06,6.24642573489470831e-01,5.87547900770349612e-03,7.94058660419931339e-01,1.77516537374313131e-02,1.15832695179779371e-01,2.47711756500248754e-03
[0.0005 0.0005 0.0005],3.69143847841582736e-03,1.11234304055171787e-04,2.98110536442310059e-03,1.07623552043695963e-04,7.14804772039360483e-04,5.42729193584364034e-06,5.85510105808046744e-01,3.61149300975365049e-03,7.14206768007869086e-01,9.37701664334875465e-03,1.29892670262805154e-01,2.86812667836101876e-03,5.03496872597724351e-03,1.68571742750161623e-04,7.63520227695748603e-04,9.74754406626920129e-06,6.24600153872139741e-01,5.88654161065647451e-03,7.87301417777620749e-01,1.73645699286234835e-02,1.15138883741736642e-01,2.45993619765704982e-03
[0.001 0.001 0.001],4.36011560611507774e-03,1.23826610876086887e-04,2.94730029198723032e-03,1.16605598724576305e-04,1.42165721500381076e-03,1.06848947376790712e-05,5.84620308119578658e-01,3.68089192065197647e-03,7.07579310537510997e-01,9.41953953981169122e-03,1.29457596346721326e-01,3.16067019610647305e-03,4.98120400881572369e-03,1.81569965947983055e-04,1.51715977439226247e-03,1.97650340905670439e-05,6.25753056631046634e-01,6.00420358677283567e-03,7.77083110974286173e-01,1.83449878421638804e-02,1.14323606786929544e-01,2.45245645882034890e-03
[0.005 0.005 0.005],9.95031922611311695e-03,1.41410075558344618e-04,3.03229361144209631e-03,1.06417335755807185e-04,6.96351001884265575e-03,4.83971354742188768e-05,5.86063674290690839e-01,3.57067628205147685e-03,6.84440367383515214e-01,7.94394475690706793e-03,1.22197962094325097e-01,2.71277746231683497e-03,5.06391301312518211e-03,1.69178767837207741e-04,7.37958719019882713e-03,8.94720949265332950e-05,6.25077930364581258e-01,5.82717949645592589e-03,7.43703586325745514e-01,1.53306873037762272e-02,1.07135921349438751e-01,2.23283874405329512e-03
[0.01 0.01 0.01],1.69537158210786194e-02,1.82850047098892927e-04,3.09792064138578703e-03,1.06989475162531258e-04,1.39487327989344049e-02,1.00781629940911903e-04,5.86228678084357191e-01,3.62090745038067376e-03,6.93616597939322732e-01,8.18465560931624578e-03,1.15028003869760864e-01,2.55675951305716622e-03,5.09789650128794104e-03,1.67576506512200004e-04,1.47064283853564019e-02,1.76810801041945458e-04,6.25273887098080516e-01,5.82753814792989679e-03,7.44347083562402423e-01,1.52259214976932233e-02,1.01021867875157295e-01,2.11160003396303284e-03
[0.05 0.05 0.05],9.98241683569625615e-02,1.27916570661762148e-03,4.06037369652997079e-03,9.93744841314036549e-05,9.63728507149120978e-02,1.24755170177718168e-03,5.88776831572723647e-01,2.95671666368525288e-03,1.25237531546539804e+00,2.34574847285941510e-02,8.63048672601201411e-02,1.96617784309506289e-03,5.90765296174103598e-03,1.85352338657998275e-04,1.10354377133897175e-01,2.52605155832231728e-03,6.27951653094265039e-01,5.95290990183032324e-03,1.50034183244483010e+00,5.04437702112209355e-02,7.87940571388479338e-02,1.31001991714828456e-03
[0.1 0.1 0.1],2.67669119876941253e-01,4.58533937190438480e-03,5.20659215956294479e-03,1.30024198998502180e-04,2.64024505365247186e-01,4.53352904163733996e-03,5.85811301492282110e-01,3.58843182414053663e-03,1.97885674517867471e+00,4.33117699096557951e-02,7.55770069815154544e-02,1.80253602373476934e-03,6.98070928995865592e-03,1.89928497235863122e-04,3.06968336971678302e-01,8.56733795953592593e-03,6.29512720177571317e-01,6.76604208051416727e-03,2.37032161007891862e+00,8.48237407271645871e-02,6.98490394602928610e-02,9.92552044896720083e-04
