lambda_physics_value,loss_train_total,loss_train_total_err,loss_train_physics,loss_train_physics_err,loss_train_data,loss_train_data_err,loss_val,loss_val_err,loss_val_physics,loss_val_physics_err
0.0,1.4301794405394475e-07,9.964294243083529e-09,0.0,0.0,1.4301794405394475e-07,9.964294243083529e-09,1.3549366645946748e-07,1.8959273762238837e-08,0.00018486460206133367,5.651716371594338e-06
0.034482758620689655,6.584731657076931e-06,3.823244535291057e-08,6.445492399575564e-06,2.914802609081386e-08,1.392392601276257e-07,9.456625223547752e-09,1.1862492498075027e-07,1.3715330596478679e-08,0.00017891328174487483,5.073618797505414e-06
0.06896551724137931,1.3025647470551417e-05,6.9169968835766e-08,1.289126014160692e-05,6.005325342463391e-08,1.3438732569067777e-07,9.477655372382362e-09,1.1598611952429395e-07,1.8830379168803693e-08,0.00018196343489166767,4.42206582522667e-06
0.10344827586206896,1.9474434163428333e-05,9.551172611205267e-08,1.934495187361222e-05,8.729454280002109e-08,1.2948228920877698e-07,8.610334540513154e-09,1.121234845943775e-07,1.3434931201659533e-08,0.00018126250011954128,4.264024801591039e-06
0.13793103448275862,2.5894824078956217e-05,1.2546495321025966e-07,2.5770937926458822e-05,1.1735670218700263e-07,1.2388615454903853e-07,8.501033391452678e-09,1.6452455109210005e-07,3.3894719318025223e-08,0.0001820893757846299,5.4938695632218784e-06
0.1724137931034483,3.2359721091580096e-05,1.5551511973717651e-07,3.224006637260701e-05,1.4793104638893623e-07,1.196547151045858e-07,7.941298520838083e-09,1.5105621284448036e-07,1.9583546744446007e-08,0.0001949142819245398,7.705172165329177e-06
0.20689655172413793,3.877005028008242e-05,1.8913725869709024e-07,3.865724600101419e-05,1.8157828946887864e-07,1.128042778703334e-07,7.922696904335087e-09,1.5015203283326174e-07,2.0665228104924062e-08,0.00018624616610766334,6.028383481044852e-06
0.24137931034482757,4.519358387632502e-05,2.1831721309014033e-07,4.508628770764986e-05,2.112975691551376e-07,1.0729617010721411e-07,7.347647949430924e-09,1.298550259994613e-07,1.5599925688144823e-08,0.0001843247804760207,4.550088081798714e-06
0.27586206896551724,5.167546175284288e-05,2.500062905404042e-07,5.157185232550156e-05,2.431934327160558e-07,1.036094314621838e-07,7.131166662871455e-09,1.3238697824533577e-07,2.2356846712259236e-08,0.00018593292073829435,4.849222466178057e-06
0.3103448275862069,5.8092664459600154e-05,2.765014510203601e-07,5.7993943449291095e-05,2.7010877722926915e-07,9.872100858345705e-08,6.691528046782157e-09,1.5067305264395258e-07,1.6807369385320656e-08,0.00018324910591364983,6.4671223922443125e-06
0.3448275862068966,6.452354366536198e-05,2.982647558542614e-07,6.443007157352362e-05,2.9213340184197183e-07,9.347209270605225e-08,6.453449892987757e-09,1.4050628406408805e-07,2.73800570451987e-08,0.00017513142560153175,5.526545725260176e-06
0.3793103448275862,7.105404968413842e-05,3.3841362365689976e-07,7.096362470804981e-05,3.326101031044233e-07,9.04249796703621e-08,6.117535539713989e-09,1.2367566676175558e-07,1.2687461976883311e-08,0.00018296378657017031,5.148853494960754e-06
0.41379310344827586,7.736531704031954e-05,3.554436496449202e-07,7.728171818724007e-05,3.499767543321538e-07,8.359885073108713e-08,5.7568872221800204e-09,1.2140254055111655e-07,1.4413789772975535e-08,0.0001768456075790323,4.2396802469644e-06
0.4482758620689655,8.376579883879482e-05,3.7938693186880667e-07,8.368762121497443e-05,3.742519037160336e-07,7.817762410076743e-08,5.4217782498436556e-09,1.4465459402906335e-07,2.6677848150665906e-08,0.00018008038792470651,4.884913557653823e-06
0.48275862068965514,9.020057205344671e-05,3.8325010217733624e-07,9.012769574950818e-05,3.78748598616658e-07,7.287630683377127e-08,4.7518012523176125e-09,1.3602065168264233e-07,2.0027890972996395e-08,0.00018120024882286424,6.663662771492364e-06
0.5172413793103449,9.680333929148511e-05,4.444184723775323e-07,9.673384848854662e-05,4.4006411063573996e-07,6.949080426613832e-08,4.591075825512639e-09,1.4931404035849028e-07,2.0947896984522925e-08,0.00018604053204167778,6.708828726644322e-06
0.5517241379310345,0.00010312898823135422,4.4824956896445493e-07,0.00010306545524354127,4.443820466964229e-07,6.353298750424046e-08,4.1007038255129886e-09,1.501155918288077e-07,1.6566818998344544e-08,0.00018892620855331504,5.899945027832844e-06
0.5862068965517241,0.00010956239442681551,4.7323267721299663e-07,0.00010950303279025095,4.6957948560873763e-07,5.9361634646689685e-08,3.860671792043822e-09,1.389862176341694e-07,1.7291236192331187e-08,0.00018023766485428987,5.32980253107987e-06
0.6206896551724138,0.00011598771309341716,5.29242317666815e-07,0.00011593359040973617,5.257929213279942e-07,5.412268441503931e-08,3.6782924417204664e-09,1.4941665575229026e-07,2.111931307973012e-08,0.00017859586482543485,5.849379136489057e-06
0.6551724137931034,0.0001224093286103998,5.513121690165602e-07,0.00012236042319245643,5.481154006372092e-07,4.89054170612662e-08,3.3699517660960948e-09,1.4546622862653182e-07,2.5313876331740372e-08,0.00017934866763380844,6.0404432356911366e-06
0.6896551724137931,0.00012880335046691838,5.505246947786734e-07,0.00012875954200557634,5.478309131156917e-07,4.380846309152167e-08,2.8603895291950106e-09,1.373970484056031e-07,1.63795958474561e-08,0.00017952855854933876,4.885068124335824e-06
0.7241379310344828,0.00013552372260139124,6.575010533649267e-07,0.00013548363246433437,6.548737288638142e-07,4.0090137193427105e-08,2.7629437282768643e-09,1.4181007276576452e-07,1.9071419251731982e-08,0.00019003734962962175,5.132381236783428e-06
0.7586206896551724,0.0001417442037249215,6.099735946143594e-07,0.00014170979184394326,6.078241149263483e-07,3.441188164245881e-08,2.274383514633034e-09,1.322624347952228e-07,2.1474194211558843e-08,0.00018021924375954832,5.56599661384114e-06
0.7931034482758621,0.0001482581964865678,6.623943215555356e-07,0.00014822852894549426,6.605129195867771e-07,2.9667540107960692e-08,1.979466486720469e-09,1.6343674964062415e-07,4.755449360657158e-08,0.00018962030150544118,9.116250242662858e-06
0.8275862068965517,0.0001546629390835821,6.993541076149056e-07,0.00015463801182274712,6.977273270757845e-07,2.49272603910829e-08,1.7099604110791813e-09,1.366350073715239e-07,1.5489744178432102e-08,0.0001822257091559365,4.54262481513948e-06
0.8620689655172413,0.00016111041617217423,7.202339387531046e-07,0.0001610905922180645,7.189492688100247e-07,1.9823954184862345e-08,1.3494717831653517e-09,1.436947807485467e-07,1.8877745987772905e-08,0.000184542602151259,6.260050649603089e-06
0.896551724137931,0.00016757881890487608,7.883980635189705e-07,0.00016756400248745445,7.87388363543125e-07,1.4816416942096814e-08,1.0543902915199718e-09,1.6037076157005003e-07,3.585914981252433e-08,0.00019732306521364493,1.2222501676793907e-05
0.9310344827586207,0.00017402246694279869,7.758757558662993e-07,0.0001740124894039876,7.752427055504657e-07,9.977538846038221e-09,6.684195162760525e-10,1.6698659582509379e-07,3.294234889078028e-08,0.00018235055162506565,5.865682933311889e-06
0.9655172413793103,0.00018052290158612104,8.580141888703675e-07,0.00018051794311434345,8.576898113359597e-07,4.958471795169183e-09,3.399050425237608e-10,1.4953093158325718e-07,2.26082311593244e-08,0.00019719519131153928,9.318390179795318e-06
1.0,11.449588986758583,0.24625304541698925,11.449588986758583,0.24625304541698925,0.0,0.0,0.1790113288450241,0.002947137497829365,11.431676191919884,0.24660056776241615
